title,company,location,summary,salary
"Data Analyst (App Developer) Jobs in ,,US",Synectics Inc,United States,"Responsibilities:
• As a Data Analyst with a focus on App Development, you will play a crucial role in building applications that streamline data visualizations and empower bioinformatics and non-bioinformatics stakeholders.
• Will work closely with researchers to understand their needs and transfor",
Data Analyst - Remote - US,Everglade Works,Anywhere,"About the Role

Everglade Works is looking for a Data Analyst who thrives in a fast-paced, remote-first environment. Your job is simple: turn raw data into insights that drive decisions across our business from engineering and operations to client delivery and executive strategy.

This role is built",
Data Analyst,KPA,"Westminster, CO","Founded in 1986, KPA is a leading provider of Workforce Compliance software and consulting services. We succeed if our clients can send their employees home at night, having not experienced a workplace accident or injury. The combination of software, consulting, and training helps clients identify, ",
"Analyst, HSG Data Analytics",DaVita Kidney Care,"Denver, CO","2000 16th Street, Denver, Colorado, 80202, United States of America

Location: Denver

Schedule: Monday & Friday, remote; Tuesday, Wednesday, Thursday in office

OVERVIEW

Are you excited to kickstart your career in data analytics within the healthcare industry? Do you want to be part of a team that",
Junior Data Analyst - Remote (Work From Home) at USA,Clarios,Anywhere,"Are you a data enthusiast with a keen eye for detail? Is seeking a Junior Data Analyst to join our remote team and contribute to the exciting world of data analytics. As a Junior Data Analyst, you will play a pivotal role in interpreting and analyzing data, helping to uncover valuable insights that ",
Data Analyst,City of Grand Junction,"Grand Junction, CO","DATA ANALYST
Hiring Range: $6,390 - $7,191 Monthly
Open until filled.
New to the City? Receive 40 Hours Paid Time Off Upon Hire!
Up to $2,500 in Relocation Reimbursement

About the Position:
As a Data Analyst with Visit Grand Junction, you will play a key role in formulating and applying statistical",
Data Insights & Strategy Analyst,IFG - International Financial Group,Anywhere,"🔎 Now Hiring: Data Insights & Strategy Analyst (Remote – PST Preferred)

📍 Remote | 🕒 PST Time Zone | 💼 Contract

🌐 Team: Global Consumer Device Strategy Team

📍 Location Requirement:

Remote within the Pacific Time Zone (must be located within 50 miles of a major metro area)

Are you passionate abo",
Dallas Ft. Worth Area Data Analyst I,Baylor Scott & White Health,"Denver, CO","About Us

Here at Baylor Scott & White Health we promote the well-being of all individuals, families, and communities. Baylor Scott and White is the largest not-for-profit healthcare system in Texas that empowers you to live well.

Our Core Values are:

+ We serve faithfully by doing what's right wi",
Sr. Product Data Analyst-JT0390,Revecore,Anywhere,"Our Company:

Start your next chapter at Revecore! For over 25 years, we've been at the forefront of specialized claims management, helping healthcare providers recover meaningful revenue to enhance quality patient care in their communities. We're powered by people, driven by technology, and dedicat",
Master Data Analyst,Signature IT World Inc,United States,"Must have:
• System knowledge: SAP, Agile
• Working knowledge of Excel and Tableau
• System configuration management, translating BOM setup into system readiness, comparing systems
• Change Management & Document Control: Setting up workflow roles, auditing changes for accuracy, system validations
• ",
